Algoritm,Tip Lista,Dimensiune,Timp(s)
Quick Sort,Plata,50,0.000023
Radix Sort,Plata,50,0.000016
Bubble Sort,Plata,100,0.000464
Insertion Sort,Plata,100,0.000184
Selection Sort,Plata,100,0.000253
Merge Sort,Plata,100,0.000189
Quick Sort,Plata,100,0.000038
Radix Sort,Plata,100,0.000031
Bubble Sort,Plata,1000,0.051488
Insertion Sort,Plata,1000,0.019451
Selection Sort,Plata,1000,0.022624
Merge Sort,Plata,1000,0.002913
Quick Sort,Plata,1000,0.000280
Radix Sort,Plata,1000,0.000295
Bubble Sort,Plata,5000,1.240865
Insertion Sort,Plata,5000,0.505389
Selection Sort,Plata,5000,0.575431
Merge Sort,Plata,5000,0.014862
Quick Sort,Plata,5000,0.001760
Radix Sort,Plata,5000,0.001434
Bubble Sort,Plata,15000,10.721872
Insertion Sort,Plata,15000,4.493077
Selection Sort,Plata,15000,5.243103
Merge Sort,Plata,15000,0.052576
Quick Sort,Plata,15000,0.003303
Radix Sort,Plata,15000,0.004601
Merge Sort,Plata,50000,0.166306
Quick Sort,Plata,50000,0.014271
Radix Sort,Plata,50000,0.018066
Merge Sort,Plata,100000,0.339724
Quick Sort,Plata,100000,0.024242
Radix Sort,Plata,100000,0.032025
Merge Sort,Plata,1000000,4.019748
Quick Sort,Plata,1000000,0.284187
Radix Sort,Plata,1000000,0.302987
Merge Sort,Plata,10000000,47.915985
Quick Sort,Plata,10000000,2.887990
Radix Sort,Plata,10000000,3.041387
Bubble Sort,Aleatoare Float,10,0.000006
Insertion Sort,Aleatoare Float,10,0.000005
Selection Sort,Aleatoare Float,10,0.000005
Merge Sort,Aleatoare Float,10,0.000016
Quick Sort,Aleatoare Float,10,0.000007
Bubble Sort,Aleatoare Float,50,0.000140
Insertion Sort,Aleatoare Float,50,0.000054
Selection Sort,Aleatoare Float,50,0.000074
Merge Sort,Aleatoare Float,50,0.000077
Quick Sort,Aleatoare Float,50,0.000063
Bubble Sort,Aleatoare Float,100,0.000469
Insertion Sort,Aleatoare Float,100,0.000233
Selection Sort,Aleatoare Float,100,0.000219
Merge Sort,Aleatoare Float,100,0.000187
Quick Sort,Aleatoare Float,100,0.000138
Bubble Sort,Aleatoare Float,1000,0.051762
Insertion Sort,Aleatoare Float,1000,0.023876
Selection Sort,Aleatoare Float,1000,0.022220
Merge Sort,Aleatoare Float,1000,0.002248
Quick Sort,Aleatoare Float,1000,0.003575
Bubble Sort,Aleatoare Float,5000,1.331598
Insertion Sort,Aleatoare Float,5000,0.657821
Selection Sort,Aleatoare Float,5000,0.526559
Merge Sort,Aleatoare Float,5000,0.015765
Quick Sort,Aleatoare Float,5000,0.012033
Bubble Sort,Aleatoare Float,15000,12.078959
Insertion Sort,Aleatoare Float,15000,5.976661
Selection Sort,Aleatoare Float,15000,4.887280
Merge Sort,Aleatoare Float,15000,0.060576
Quick Sort,Aleatoare Float,15000,0.033579
Merge Sort,Aleatoare Float,50000,0.191946
Quick Sort,Aleatoare Float,50000,0.131844
Merge Sort,Aleatoare Float,100000,0.385804
Quick Sort,Aleatoare Float,100000,0.298710
Merge Sort,Aleatoare Float,1000000,5.306807
Quick Sort,Aleatoare Float,1000000,5.523753
Merge Sort,Aleatoare Float,10000000,76.335064
Quick Sort,Aleatoare Float,10000000,71.854097
Bubble Sort,Sortata Float,10,0.000001
Insertion Sort,Sortata Float,10,0.000001
Selection Sort,Sortata Float,10,0.000005
Merge Sort,Sortata Float,10,0.000012
Quick Sort,Sortata Float,10,0.000007
Bubble Sort,Sortata Float,50,0.000003
Insertion Sort,Sortata Float,50,0.000009
Selection Sort,Sortata Float,50,0.000057
Merge Sort,Sortata Float,50,0.000063
Quick Sort,Sortata Float,50,0.000050
Bubble Sort,Sortata Float,100,0.000006
Insertion Sort,Sortata Float,100,0.000010
Selection Sort,Sortata Float,100,0.000193
Merge Sort,Sortata Float,100,0.000139
Quick Sort,Sortata Float,100,0.000089
Bubble Sort,Sortata Float,1000,0.000141
Insertion Sort,Sortata Float,1000,0.000164
Selection Sort,Sortata Float,1000,0.020710
Merge Sort,Sortata Float,1000,0.003222
Quick Sort,Sortata Float,1000,0.001037
Bubble Sort,Sortata Float,5000,0.000530
Insertion Sort,Sortata Float,5000,0.000872
Selection Sort,Sortata Float,5000,0.524088
Merge Sort,Sortata Float,5000,0.009612
Quick Sort,Sortata Float,5000,0.006362
Bubble Sort,Sortata Float,15000,0.001043
Insertion Sort,Sortata Float,15000,0.001868
Selection Sort,Sortata Float,15000,4.530748
Merge Sort,Sortata Float,15000,0.036817
Quick Sort,Sortata Float,15000,0.023399
Merge Sort,Sortata Float,50000,0.122260
Quick Sort,Sortata Float,50000,0.090049
Merge Sort,Sortata Float,100000,0.248074
Quick Sort,Sortata Float,100000,0.233336
Merge Sort,Sortata Float,1000000,3.088711
Quick Sort,Sortata Float,1000000,2.001524
Merge Sort,Sortata Float,10000000,34.602811
Quick Sort,Sortata Float,10000000,26.742994
Bubble Sort,Invers Sortata Float,10,0.000008
Insertion Sort,Invers Sortata Float,10,0.000005
Selection Sort,Invers Sortata Float,10,0.000005
Merge Sort,Invers Sortata Float,10,0.000011
Quick Sort,Invers Sortata Float,10,0.000008
Bubble Sort,Invers Sortata Float,50,0.000153
Insertion Sort,Invers Sortata Float,50,0.000129
Selection Sort,Invers Sortata Float,50,0.000057
Merge Sort,Invers Sortata Float,50,0.000107
Quick Sort,Invers Sortata Float,50,0.000043
Bubble Sort,Invers Sortata Float,100,0.000624
Insertion Sort,Invers Sortata Float,100,0.000463
Selection Sort,Invers Sortata Float,100,0.000250
Merge Sort,Invers Sortata Float,100,0.000153
Quick Sort,Invers Sortata Float,100,0.000094
Bubble Sort,Invers Sortata Float,1000,0.078413
Insertion Sort,Invers Sortata Float,1000,0.054446
Selection Sort,Invers Sortata Float,1000,0.032598
Merge Sort,Invers Sortata Float,1000,0.002422
Quick Sort,Invers Sortata Float,1000,0.001525
Bubble Sort,Invers Sortata Float,5000,1.860467
Insertion Sort,Invers Sortata Float,5000,1.244447
Selection Sort,Invers Sortata Float,5000,0.584969
Merge Sort,Invers Sortata Float,5000,0.010918
Quick Sort,Invers Sortata Float,5000,0.009113
Bubble Sort,Invers Sortata Float,15000,16.692492
Insertion Sort,Invers Sortata Float,15000,11.175766
Selection Sort,Invers Sortata Float,15000,5.213038
Merge Sort,Invers Sortata Float,15000,0.038380
Quick Sort,Invers Sortata Float,15000,0.021395
Merge Sort,Invers Sortata Float,50000,0.135180
Quick Sort,Invers Sortata Float,50000,0.090720
Merge Sort,Invers Sortata Float,100000,0.263185
Quick Sort,Invers Sortata Float,100000,0.186057
Merge Sort,Invers Sortata Float,1000000,3.325311
Quick Sort,Invers Sortata Float,1000000,2.159465
Merge Sort,Invers Sortata Float,10000000,40.053344
Quick Sort,Invers Sortata Float,10000000,26.505026
Bubble Sort,Aproape sortata Float,10,0.000005
Insertion Sort,Aproape sortata Float,10,0.000003
Selection Sort,Aproape sortata Float,10,0.000004
Merge Sort,Aproape sortata Float,10,0.000011
Quick Sort,Aproape sortata Float,10,0.000006
Bubble Sort,Aproape sortata Float,50,0.000076
Insertion Sort,Aproape sortata Float,50,0.000017
Selection Sort,Aproape sortata Float,50,0.000051
Merge Sort,Aproape sortata Float,50,0.000090
Quick Sort,Aproape sortata Float,50,0.000045
Bubble Sort,Aproape sortata Float,100,0.000331
Insertion Sort,Aproape sortata Float,100,0.000073
Selection Sort,Aproape sortata Float,100,0.000207
Merge Sort,Aproape sortata Float,100,0.000180
Quick Sort,Aproape sortata Float,100,0.000092
Bubble Sort,Aproape sortata Float,1000,0.034063
Insertion Sort,Aproape sortata Float,1000,0.006979
Selection Sort,Aproape sortata Float,1000,0.025110
Merge Sort,Aproape sortata Float,1000,0.002925
Quick Sort,Aproape sortata Float,1000,0.003148
Bubble Sort,Aproape sortata Float,5000,0.887621
Insertion Sort,Aproape sortata Float,5000,0.142458
Selection Sort,Aproape sortata Float,5000,0.574782
Merge Sort,Aproape sortata Float,5000,0.015440
Quick Sort,Aproape sortata Float,5000,0.009604
Bubble Sort,Aproape sortata Float,15000,8.746354
Insertion Sort,Aproape sortata Float,15000,1.300014
Selection Sort,Aproape sortata Float,15000,5.181257
Merge Sort,Aproape sortata Float,15000,0.046973
Quick Sort,Aproape sortata Float,15000,0.026279
Merge Sort,Aproape sortata Float,50000,0.180408
Quick Sort,Aproape sortata Float,50000,0.100537
Merge Sort,Aproape sortata Float,100000,0.411692
Quick Sort,Aproape sortata Float,100000,0.242936
Merge Sort,Aproape sortata Float,1000000,5.274459
Quick Sort,Aproape sortata Float,1000000,2.686920
Merge Sort,Aproape sortata Float,10000000,65.225659
Quick Sort,Aproape sortata Float,10000000,35.189869
Bubble Sort,Plata Float,10,0.000005
Insertion Sort,Plata Float,10,0.000003
Selection Sort,Plata Float,10,0.000004
Merge Sort,Plata Float,10,0.000012
Quick Sort,Plata Float,10,0.000005
Bubble Sort,Plata Float,50,0.000115
Insertion Sort,Plata Float,50,0.000057
Selection Sort,Plata Float,50,0.000052
Merge Sort,Plata Float,50,0.000105
Quick Sort,Plata Float,50,0.000026
Bubble Sort,Plata Float,100,0.000383
Insertion Sort,Plata Float,100,0.000194
Selection Sort,Plata Float,100,0.000197
Merge Sort,Plata Float,100,0.000169
Quick Sort,Plata Float,100,0.000039
Bubble Sort,Plata Float,1000,0.046762
Insertion Sort,Plata Float,1000,0.019973
Selection Sort,Plata Float,1000,0.020276
Merge Sort,Plata Float,1000,0.003041
Quick Sort,Plata Float,1000,0.000772
Bubble Sort,Plata Float,5000,1.266402
Insertion Sort,Plata Float,5000,0.522175
Selection Sort,Plata Float,5000,0.542544
Merge Sort,Plata Float,5000,0.017389
Quick Sort,Plata Float,5000,0.001376
Bubble Sort,Plata Float,15000,12.059718
Insertion Sort,Plata Float,15000,5.085853
Selection Sort,Plata Float,15000,5.065234
Merge Sort,Plata Float,15000,0.049442
Quick Sort,Plata Float,15000,0.005749
Merge Sort,Plata Float,50000,0.179911
Quick Sort,Plata Float,50000,0.015551
Merge Sort,Plata Float,100000,0.388102
Quick Sort,Plata Float,100000,0.043459
Merge Sort,Plata Float,1000000,5.095378
Quick Sort,Plata Float,1000000,0.507013
Merge Sort,Plata Float,10000000,62.720863
Quick Sort,Plata Float,10000000,5.955170
